"","x"
"1",2
"2",3
"3",14.8557267067023
"4",5.28377764557954
"5",5.15535719264299
"6",5.15535719264299
"7",5.15535719264299
"8",5.15535719264299
"9",24.9930477383267
"10",61.2631817331072
"11",0
"12",0
"13",0
"14",0
"15",35.7342569763074
"16",35.7342569763074
"17",35.7342569763074
"18",46.3746385470498
"19",46.3746385470498
