"","V1","V2"
"1",2.5,2.50000000007765
"2",1.6,1.60000000004415
"3",4.8,4.80000000016423
"4",2.5,2.5000000000062
"5",3.1,3.09999999996548
"6",5.3,5.29999999969805
"7",1.8,1.79999999992826
"8",1.9,1.90000000004988
"9",3.4,3.39999999996956
"10",3.2,3.1999999998228
