"","V1","V2"
"1",1.17993079,1.24160422357525
"2",1.051868751,1.20031353570747
"3",1.306913526,1.31493898223021
"4",1.5000667,1.59862367777215
"5",1.396299715,1.11498388228667
"6",1.382782554,1.30069282891448
"7",0.988567434,1.13581836684852
"8",1.236342694,1.35679454344796
"9",1.203553241,1.26095731814006
"10",1.504213449,1.42807736285801
"11",1.512755485,1.50887915374843
"12",1.25408215,1.37707277394127
"13",1.321961461,1.20617518351097
"14",1.649031503,1.4805477024769
"15",1.331967547,1.43606632613086
"16",1.335793083,1.49043296328787
"17",1.447599417,1.56424862743419
"18",1.138632437,1.21089346593041
"19",1.403257517,1.3689179391918
"20",1.496815524,1.37062113534512
"21",1.87310851,1.78612519951394
"22",1.613970148,1.72668185096651
"23",1.538867335,1.5741348471147
"24",1.609039584,1.4929085907864
"25",1.208942345,1.27140780410556
"26",1.158708396,1.18126913718961
"27",1.292096817,1.28878528117295
"28",1.259620815,1.29445935928345
"29",1.51399161,1.4837365213033
"30",1.308670104,1.46367328490747
"31",1.684621857,1.5151883058261
"32",1.717598915,1.52557871971367
"33",1.467175871,1.52459673790325
"34",1.106532955,1.15622504479222
"35",1.029352171,1.15210763688285
"36",1.440208028,1.40080203472881
"37",1.718797439,1.48510548735064
"38",1.31124573,1.15473068132665
"39",1.120309037,1.23722823593124
"40",1.426985737,1.22121153732065
"41",1.453012449,1.437179317498
"42",1.697535172,1.50613836046709
"43",1.322767356,1.40059725825264
"44",1.473630171,1.51693522500415
"45",1.341145265,1.35891062029568
"46",1.29524628,1.19279667394024
"47",1.531702607,1.30096200709517
"48",1.316238019,1.32738016559814
"49",1.297510996,1.2787165222008
"50",1.38641249,1.36877346942327
"51",1.149500584,1.19564379134601
"52",1.274058294,1.25372952169161
"53",1.112637075,1.30037714475664
"54",1.402109998,1.45318103139467
"55",0.950163257,1.0536214815844
"56",1.240382225,1.16754130838195
"57",1.120803973,1.28702043183323
"58",1.467953063,1.46158123850925
"59",1.32739923,1.27663286286821
"60",1.558790984,1.24109825909922
"61",1.267159516,1.27505315048109
"62",1.063784439,1.25416664000684
"63",1.512221168,1.41185465833963
"64",1.196610095,1.23555461252107
"65",1.158363593,1.26855594721186
"66",1.089207805,1.15246001058008
"67",0.931167346,1.17268545907074
"68",1.295976638,1.35569417790419
"69",1.435157367,1.66252860335998
"70",1.188763766,1.32474408696719
"71",1.16644409,1.26834480528085
"72",1.282638658,1.20258682951743
"73",1.410545855,1.28947923549106
"74",1.260857329,1.42456455467091
"75",1.160910736,1.27495614849965
"76",1.205050799,1.23781597815928
"77",1.029286361,1.18017673718643
"78",1.351323595,1.30348644473818
"79",1.472739414,1.30167301366641
"80",1.688756145,1.66274986615564
"81",1.362611495,1.22893129612458
"82",1.383941439,1.23352080051078
"83",1.104762746,1.23092713549254
"84",1.212784081,1.11387426543803
"85",1.254679386,1.34450019103281
"86",1.446678845,1.50841817299207
"87",1.279874387,1.35109275992984
"88",1.326129222,1.36344869832638
"89",1.205821751,1.13303708790038
"90",1.159877963,1.13321018942853
"91",1.655694213,1.68976221320934
"92",1.048181844,1.17155559663031
"93",1.087147264,1.16610967029061
"94",1.004871992,1.16713805180513
"95",1.107528607,1.23906308527274
"96",1.368351232,1.29233914511174
"97",1.82907826,1.71224775702532
"98",1.520594667,1.43478162020296
"99",1.343369926,1.37895819066898
"100",0.978280212,1.07634992446647
"101",1.363524287,1.21047160984835
"102",1.247599823,1.1824927504527
"103",1.271513765,1.52805667624737
"104",1.678933096,1.45637302704997
"105",1.191768615,1.28545361296164
"106",1.176011226,1.16128873088155
"107",1.334562456,1.21127187198404
"108",1.315516893,1.23753767588169
"109",1.540928272,1.51693853990461
"110",1.284314348,1.26136438708016
"111",1.297460954,1.19453852158732
"112",1.185321148,1.2279029927046
"113",1.077677004,1.24233445668417
"114",1.506210678,1.65507860992058
"115",0.890129976,1.04289517707238
"116",0.923308365,0.99893700538646
"117",1.620039138,1.77444036549441
"118",1.0191306,1.29673814115156
"119",0.850538802,0.960278311087544
"120",1.784700744,1.66758703175769
"121",1.363480459,1.2450794992212
"122",1.04421104,1.17746845950126
"123",1.512433737,1.68248552134461
"124",1.114655652,0.986963246484232
"125",1.157318846,1.28453824666277
"126",1.010395428,1.03542823830051
"127",0.92438354,1.1324869379475
"128",1.185618415,1.02329848865682
"129",1.41757364,1.49691111832153
"130",1.615442688,1.77211237043513
"131",1.423156579,1.30761665502073
"132",1.202449203,1.45411120409016
"133",1.035605568,1.10009739831611
"134",1.55967841,1.51101190784807
"135",1.462362805,1.14956776377703
"136",1.451599864,1.5187286010298
"137",0.957368637,0.959589123323489
"138",1.200854089,1.27372138090409
"139",1.124908484,1.27109300091861
"140",1.419403373,1.43912131230932
"141",1.602436232,1.34044487044287
"142",1.364842715,1.26021505756411
"143",1.088547564,1.095376175743
"144",1.233338509,1.18343666391484
"145",1.750871826,1.55177614696807
"146",1.546866114,1.52539624085856
"147",1.347122685,1.30804164632075
"148",1.676568466,1.45145484822649
"149",1.218397577,0.995035905106275
"150",1.158837703,1.11747533205975
"151",1.28172586,1.36428106838495
"152",1.414691638,1.42682567120316
"153",1.000231483,1.08652913871922
"154",1.447795089,1.37737122486742
"155",1.372702911,1.44151108280119
"156",1.487724948,1.51933523533957
"157",1.443491119,1.22544181857567
"158",1.85467894,1.49157367329469
"159",1.640087646,1.30408215835403
"160",1.386495709,1.29615628921867
"161",1.323697064,1.35713153442872
